epoch,mode,loss,Initialisation,Regression_0,Regression_1,Classification_0,Classification_1
1,True,4.8193464279174805,1.0825687646865845,1.0835037231445312,1.0890178680419922,0.7818193435668945,0.7824358940124512
1,False,4.601423740386963,1.0435751676559448,1.0417722463607788,1.0419000387191772,0.736266016960144,0.7379103302955627
2,True,4.494755744934082,1.0415284633636475,1.032873511314392,1.0374934673309326,0.690846860408783,0.6920129060745239
2,False,4.445136070251465,1.0003176927566528,0.9906978607177734,0.9908444881439209,0.7070525288581848,0.7562235593795776
3,True,4.284933567047119,0.9907108545303345,0.9716914296150208,0.9768044352531433,0.6737830638885498,0.6719421148300171
3,False,4.265351295471191,0.9564064741134644,0.9446738958358765,0.9450265765190125,0.6814128160476685,0.7378319501876831
4,True,4.221317768096924,0.970390796661377,0.9549751877784729,0.9600238800048828,0.6690161228179932,0.6669115424156189
4,False,4.175756454467773,0.9479384422302246,0.9407017230987549,0.9408684372901917,0.6735420823097229,0.6727055311203003
5,True,4.194452285766602,0.9636597037315369,0.9479033350944519,0.951647937297821,0.6678577661514282,0.6633828282356262
5,False,4.156970977783203,0.9436354041099548,0.937188982963562,0.937710702419281,0.6712786555290222,0.6671568155288696
6,True,4.17722749710083,0.9583404660224915,0.9442592263221741,0.9476825594902039,0.6656416654586792,0.661304771900177
6,False,4.1343865394592285,0.938694179058075,0.9330911040306091,0.9329220652580261,0.6654508709907532,0.6642278432846069
7,True,4.179636478424072,0.957933247089386,0.9434947371482849,0.9465462565422058,0.6687009930610657,0.6629588603973389
7,False,4.145021438598633,0.9415305256843567,0.9349448680877686,0.9349550604820251,0.6682124733924866,0.6653785109519958
8,True,4.198498725891113,0.964828610420227,0.9480753540992737,0.951362133026123,0.6701635122299194,0.6640713214874268
8,False,4.147892475128174,0.9446688890457153,0.9372388124465942,0.9366756081581116,0.6642342805862427,0.6650730967521667
9,True,4.2178263664245605,0.970200777053833,0.9517232775688171,0.9544717073440552,0.6744756102561951,0.6669524908065796
9,False,4.167837142944336,0.9528036713600159,0.9386990666389465,0.9375916719436646,0.6706479787826538,0.6680964827537537
10,True,4.23721170425415,0.9738168120384216,0.9538901448249817,0.9569886922836304,0.6818487644195557,0.6706684827804565
10,False,4.177514553070068,0.9526715874671936,0.9387878179550171,0.9381029605865479,0.6744030714035034,0.6735497117042542
11,True,4.204529285430908,0.9694883823394775,0.9479027390480042,0.950234591960907,0.6722802519798279,0.6646220684051514
11,False,4.15372371673584,0.9518730044364929,0.9380372166633606,0.9370039105415344,0.6647132635116577,0.6620966196060181
12,True,4.17818546295166,0.9642687439918518,0.943556547164917,0.9453778862953186,0.6653977632522583,0.6595839858055115
12,False,4.146610260009766,0.9497170448303223,0.9365933537483215,0.9348247647285461,0.662735641002655,0.662739634513855
13,True,4.155533790588379,0.9542348384857178,0.9387710690498352,0.94111567735672,0.6628550291061401,0.6585544943809509
13,False,4.127368450164795,0.9424128532409668,0.9328966736793518,0.931676983833313,0.6605793833732605,0.659802258014679
14,True,4.218554973602295,0.9737633466720581,0.9513577818870544,0.9538986086845398,0.674622654914856,0.6649136543273926
